X,Y,OBJECTID,FEATURE_ID,NAME,ADDRESS,ZIP,INVENTORY_ID,DISTRICT,OWNERSHIP_TYPE,OWNER,REG_SPACES,ACCESSIBLE,XCOORD,YCOORD,LONGITUDE,LATITUDE,ADDRESS_NUM,ON_PREFIX,ON_STNAME,ON_STYPE,ON_SUFFIX,CROSS_PREFIX,CROSS_STNAME,CROSS_STYPE,CROSS_SUFFIX
-122.185193379786,47.6028525323963,19,570087,Wilburton P&R,720 114th Ave SE,98005,729,E,P,S,186,0,1306927,222831.48,-122.1851951,47.60285046,720, ,114th,Ave,SE, , , , 
-122.15236778436,47.5803106428371,20,570088,Eastgate P&R,14200 SE Eastgate Way,98007,713,E,P,S,1614,0,1314883.00007,214469.671908,-122.15236959,47.58030849,14200,SE,Eastgate,Way, , , , , 
-122.300576577592,47.3125592584395,21,570091,Federal Way/S 320th St P&R,32320 23rd Ave S,98003,733,S,P,S,877,0,1276447.75,117483.06,-122.30057984,47.31255741,32320, ,23rd,Ave,S, , , , 
-121.937211089211,47.52727398072,22,570092,Preston P&R,30303 SE High Point Way,98027,725,E,P,S,53,0,1367701.526,194289.837924,-121.93721297,47.5272714,30303, ,I-90,Way, , ,Preston-Fall City,Rd, 
-122.359128066585,47.2942851285611,23,570097,Twin Lakes P&R,21st Ave SW & SW 344th St,98023,742,S,P,S,600,0,1261793,111101,-122.35913143,47.29428341,0, ,21st,Ave,SW,SW,344th,St, 
-121.986445989148,47.7435796410233,24,570098,Duvall P&R,SR-203 & Woodinville/Duvall Rd,98019,731,E,P,KC,49,0,1356721.04,273360.22,-121.9864469,47.74357733,0, ,SR 203, , , ,Woodinville Duvall,Rd, 
-122.061662494532,47.5407086290093,25,570099,Tibbetts Lot P&R,1675 Newport Way NW,98027,755,E,P,KC,170,0,1337036.25862,199655.585265,-122.06166444,47.54070625,1675, ,Newport,Way,NW, ,17th,Ave,NW
-122.136307237538,47.632986494164,26,570100,Overlake P&R,2650 152nd Ave NE,98052,724,E,P,KC,203,0,1319171.62,233613.71,-122.13630879,47.63298434,2650, ,152nd,Ave,NE,NE,24th, , 
-122.326062902237,47.7029577967848,27,570101,Northgate TC Extension P&R,3rd Ave NE & NE 103rd St,98125,753.1,N,P,KC,448,10,1272888.35898,259981.832338,-122.32606422,47.70295601,0,NE,103rd,St, , ,3rd,Ave,NE
-122.233867087003,47.3836582765494,28,570104,Kent Garage at Kent Station P&R,320 Ramsay Way,98032,872,S,P,ST,877,0,1293466,143105,-122.23386995,47.3836563,320,,Ramsay,Way,, , , , 
-122.319093189864,47.7556360846709,29,570107,Bethel Lutheran Church P&R,17418 8th Ave NE,98155,502,N,L, ,40,0,1274975.13,279160.34,-122.31909428,47.75563432,17418, ,8th,Ave,NE, ,10th,Ave,NE
-122.302304011826,47.734449371886,30,570108,Shoreline United Methodist Church P&R,14511 25th Ave NE,98155,566,N,L, ,20,0,1278956.62803,271354.25302,-122.30230519,47.73444754,14511,,25th,Ave,NE,NE,145th,St,
-122.17945362653,47.551168912172,31,570114,Newport Hills Community Church P&R,5833 119th Ave SE,98006,513,E,L, ,37,0,1308013.04433,203957.167898,-122.17945558,47.55116681,5833, ,119th,Ave,SE, ,58th,Ave,SE
-122.358786175129,47.5175451438083,32,570117,Holy Family Church P&R,9641 20th Ave SW,98106,562,N,L, ,23,0,1263492,192521,-122.35878832,47.51754333,9641, ,20th,Ave,SW, ,20th,Ave,SW
-122.219845710589,47.480119159938,33,570120,City View Church P&R,255 Hardie Ave SW,98055,524,S,L, ,96,0,1297573,178222,-122.21984803,47.48011714,255,,Hardie ,Ave,SW, ,,,
