X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,OWNERSHIP,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,COMPTYPE,CURRENT_STATUS_DATE,INSTALL_DATE,INSTALL_PURPOSE,INTKEY,LANDSCAPING,MAINTAINED_BY,MAINTENANCE_AGREEMENT,NO_LAND_REASON,OVERRIDECOMMENT,OVERRIDEYN,OWNERSHIP_DATE,SDOT_INITIATED,SEWER_ACCESS_COVER,TRCSIZE,SURVEY_MONUMENT,TRCSHAPE,UNITTYPE,SHAPE_LNG,SHAPE_LAT
1275445.71442285,223954.831769392,828,509239,TRC-184,15TH AVE AND E ALDER ST                                                                                                                                                                                                                                        ,GOOD,2009/09/04 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1993/07/09 00:00:00+00, ,30208,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.312865856098,47.6043440784355
1272893.96856424,255406.725881591,829,509781,TRC-985,LATONA AVE NE AND NE 85TH ST                                                                                                                                                                                                                                   ,GOOD,2009/09/14 00:00:00+00,INSVC,SDOT,DISTRICT5,DISTRICT4,16,2009/10/14 00:00:00+00,1998/11/23 00:00:00+00, ,37610,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.32567982881,47.6904178848931
1266875.79652607,252657.63851878,830,508955,TRC-948,FREMONT AVE N AND N 74TH ST                                                                                                                                                                                                                                    ,GOOD,2009/07/06 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1982/10/25 00:00:00+00, ,24316,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.349890723705,47.6825602308599
1278797.31929028,237523.467367277,831,509257,TRC-413,25TH AVE E AND E MILLER ST                                                                                                                                                                                                                                     ,GOOD,2009/08/03 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1989/05/26 00:00:00+00, ,28351,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.300330717202,47.641711417126
1266685.93732588,263524.839553908,832,509620,TRC-910,EVANSTON AVE N AND N 115TH ST                                                                                                                                                                                                                                  ,GOOD,2009/09/04 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1992/05/15 00:00:00+00, ,36392,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.351531633916,47.712336406156
1264974.99063613,258271.768380523,833,509855,TRC-325,1ST AVE NW AND NW 95TH ST                                                                                                                                                                                                                                      ,GOOD,2009/09/09 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1993/10/13 00:00:00+00, ,37143,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,OVAL,TRC,-122.358057422698,47.6978453020205
1260106.76778315,194526.53465125,834,527081,TRC-1103,31ST AVE SW AND SW HENDERSON ST                                                                                                                                                                                                                                ,GOOD,2019/01/03 00:00:00+00,INSVC, ,DISTRICT1, ,16,2019/01/03 00:00:00+00,1970/01/01 00:00:00+00,CALMING,34942,Y, ,, ,,N,1970/01/01 00:00:00+00,N,N,16,Y,CRC,TRC,-122.372645251637,47.5228574251686
1255517.56304245,207275.373640299,835,509143,TRC-701,47TH AVE SW AND SW HUDSON ST                                                                                                                                                                                                                                   ,GOOD,2009/09/21 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,2003/04/07 00:00:00+00, ,32854,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,OVAL,TRC,-122.392260255303,47.5575479408488
1271191.1960825,241406.438891262,836,509157,TRC-856,CORLISS AVE N AND N 37TH ST                                                                                                                                                                                                                                    ,GOOD,2009/09/14 00:00:00+00,INSVC,SDOT,DISTRICT4, ,16,2009/10/14 00:00:00+00,1997/04/21 00:00:00+00, ,27268,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.331485721437,47.6519528655753
1266343.19690953,245486.935983434,837,509606,TRC-912,EVANSTON AVE N AND N 47TH ST                                                                                                                                                                                                                                   ,GOOD,2009/09/21 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1994/03/17 00:00:00+00, ,25680,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.35147825122,47.6628768962508
1273095.74706045,196514.835133284,838,509463,TRC-104,10TH AVE S AND S ROSE ST                                                                                                                                                                                                                                       ,GOOD,2009/05/12 00:00:00+00,INSVC,SDOT,DISTRICT1, ,16,2009/10/14 00:00:00+00,1992/06/05 00:00:00+00, ,35085,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.320240884464,47.5290073785177
1263593.18596272,254050.488440201,839,508967,TRC-764,6TH AVE NW AND NW 79TH ST                                                                                                                                                                                                                                      ,GOOD,2009/08/03 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,1989/07/19 00:00:00+00, ,24060,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,OVAL,TRC,-122.363326875266,47.6861998387471
1280828.48748437,227834.997213364,840,509289,TRC-538,32ND AVE AND E PINE ST                                                                                                                                                                                                                                         ,GOOD,2009/09/12 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1997/09/18 00:00:00+00, ,30008,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.291348209581,47.6152612022533
1269572.38200083,254853.197113022,841,508898,TRC-829,ASHWORTH AVE N AND N 82ND ST                                                                                                                                                                                                                                   ,GOOD,1970/01/01 00:00:00+00,INSVC,SDOT,DISTRICT6, ,16,2009/10/14 00:00:00+00,2002/08/19 00:00:00+00, ,24221,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.339119916948,47.6887233141583
1272803.94808415,232511.264738142,842,509176,TRC-836,BELLEVUE PL E AND BELMONT PL E                                                                                                                                                                                                                                 ,GOOD,2009/06/18 00:00:00+00,INSVC,SDOT,DISTRICT3, ,16,2009/10/14 00:00:00+00,1990/06/07 00:00:00+00, ,29092,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.324244384716,47.6276573140949
1275579.27979898,256659.901498869,843,509404,TRC-134,12TH AVE NE AND NE 90TH ST                                                                                                                                                                                                                                     ,GOOD,2009/08/03 00:00:00+00,INSVC,SDOT,DISTRICT5, ,16,2009/10/14 00:00:00+00,1989/05/02 00:00:00+00, ,37531,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.314876627608,47.6939950354925
1283067.88755065,207828.893512875,844,509680,TRC-644,42ND AVE S AND S ALASKA ST                                                                                                                                                                                                                                     ,GOOD,2009/09/12 00:00:00+00,INSVC,SDOT,DISTRICT2, ,16,2009/10/14 00:00:00+00,1997/02/06 00:00:00+00, ,32610,Y,SDOT,, ,,N,1970/01/01 00:00:00+00,N,N,0,N,CRC,TRC,-122.28074480451,47.5605403117973
